"Schema","Schema.URL","Schema.ERD.URL","Table","Table.URL","Column.name","Data.type","Default.value","Value.constraint","Default.constraint","Identity","Nullable","Description"
"as_core","http://library.blackboard.com/ref/4c77996d-4fdd-451f-afc6-7f7884f3726d/schema-as_core.html","http://library.blackboard.com/ref/4c77996d-4fdd-451f-afc6-7f7884f3726d/images/as_core.png","course_main","http://library.blackboard.com/ref/4c77996d-4fdd-451f-afc6-7f7884f3726d/tables/as_core/course_main.html","course_id","varchar(100)","","",,"false","false","This is the ID of the course. It can be provided by the user."
"as_core","http://library.blackboard.com/ref/4c77996d-4fdd-451f-afc6-7f7884f3726d/schema-as_core.html","http://library.blackboard.com/ref/4c77996d-4fdd-451f-afc6-7f7884f3726d/images/as_core.png","course_main","http://library.blackboard.com/ref/4c77996d-4fdd-451f-afc6-7f7884f3726d/tables/as_core/course_main.html","dtmodified","datetime","NOW","",,"false","true","This is the datetime when the course was last modified."
"as_core","http://library.blackboard.com/ref/4c77996d-4fdd-451f-afc6-7f7884f3726d/schema-as_core.html","http://library.blackboard.com/ref/4c77996d-4fdd-451f-afc6-7f7884f3726d/images/as_core.png","course_main","http://library.blackboard.com/ref/4c77996d-4fdd-451f-afc6-7f7884f3726d/tables/as_core/course_main.html","course_theme_pk1","id","","",,"false","true","This is a foreign key referencing the primary key of the [AS_CORE].course_theme table. It is the course theme that is used for the course."
"as_core","http://library.blackboard.com/ref/4c77996d-4fdd-451f-afc6-7f7884f3726d/schema-as_core.html","http://library.blackboard.com/ref/4c77996d-4fdd-451f-afc6-7f7884f3726d/images/as_core.png","course_main","http://library.blackboard.com/ref/4c77996d-4fdd-451f-afc6-7f7884f3726d/tables/as_core/course_main.html","upload_limit","numeric","","",,"false","true","No longer used in Learn 9.1."
"as_core","http://library.blackboard.com/ref/4c77996d-4fdd-451f-afc6-7f7884f3726d/schema-as_core.html","http://library.blackboard.com/ref/4c77996d-4fdd-451f-afc6-7f7884f3726d/images/as_core.png","course_main","http://library.blackboard.com/ref/4c77996d-4fdd-451f-afc6-7f7884f3726d/tables/as_core/course_main.html","sos_id_pk2","id","1","",,"false","true","This column is deprecated."
"as_core","http://library.blackboard.com/ref/4c77996d-4fdd-451f-afc6-7f7884f3726d/schema-as_core.html","http://library.blackboard.com/ref/4c77996d-4fdd-451f-afc6-7f7884f3726d/images/as_core.png","course_main","http://library.blackboard.com/ref/4c77996d-4fdd-451f-afc6-7f7884f3726d/tables/as_core/course_main.html","dtcreated","datetime","NOW","",,"false","false","This is the datetime when the course was first created."
"as_core","http://library.blackboard.com/ref/4c77996d-4fdd-451f-afc6-7f7884f3726d/schema-as_core.html","http://library.blackboard.com/ref/4c77996d-4fdd-451f-afc6-7f7884f3726d/images/as_core.png","course_main","http://library.blackboard.com/ref/4c77996d-4fdd-451f-afc6-7f7884f3726d/tables/as_core/course_main.html","end_date","datetime","","",,"false","true","This is the datetime that the course stops to be available to access."
"as_core","http://library.blackboard.com/ref/4c77996d-4fdd-451f-afc6-7f7884f3726d/schema-as_core.html","http://library.blackboard.com/ref/4c77996d-4fdd-451f-afc6-7f7884f3726d/images/as_core.png","course_main","http://library.blackboard.com/ref/4c77996d-4fdd-451f-afc6-7f7884f3726d/tables/as_core/course_main.html","soft_limit","numeric","","",,"false","true","Handles the disk quota soft limit on content. Instructors receive a warning email when this limit is exceeded. Expressed in bytes."
"as_core","http://library.blackboard.com/ref/4c77996d-4fdd-451f-afc6-7f7884f3726d/schema-as_core.html","http://library.blackboard.com/ref/4c77996d-4fdd-451f-afc6-7f7884f3726d/images/as_core.png","course_main","http://library.blackboard.com/ref/4c77996d-4fdd-451f-afc6-7f7884f3726d/tables/as_core/course_main.html","uuid","nvarchar(32)","","",,"false","true","A unique (generated) identifier for this course.  Sent as the course_id in LTI launch requests."
"as_core","http://library.blackboard.com/ref/4c77996d-4fdd-451f-afc6-7f7884f3726d/schema-as_core.html","http://library.blackboard.com/ref/4c77996d-4fdd-451f-afc6-7f7884f3726d/images/as_core.png","course_main","http://library.blackboard.com/ref/4c77996d-4fdd-451f-afc6-7f7884f3726d/tables/as_core/course_main.html","lower_course_id","varchar(100)","","",,"false","true","This is the ID of the course in lowercase letters."
